2026-04-09 13:00:00 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:00:03 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:00:05 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:00:35 | ERROR    | app.services.user_behavior_service:collect_behavior:56 - Failed to collect user behavior: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 69d7324ec0750d0486615953, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:00:39 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:01:10 | ERROR    | app.services.user_behavior_service:collect_behavior:56 - Failed to collect user behavior: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 69d7324ec0750d0486615953, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:01:10 | ERROR    | app.services.user_behavior_service:collect_batch_behaviors:67 - Failed to collect behavior for user test_user_123: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 69d7324ec0750d0486615953, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:01:40 | ERROR    | app.services.user_behavior_service:collect_behavior:56 - Failed to collect user behavior: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 69d7324ec0750d0486615953, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:01:40 | ERROR    | app.services.user_behavior_service:collect_batch_behaviors:67 - Failed to collect behavior for user test_user_123: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 69d7324ec0750d0486615953, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:01:42 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:02:12 | ERROR    | app.services.user_behavior_service:collect_behavior:56 - Failed to collect user behavior: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 69d7324ec0750d0486615953, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:02:14 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
